,기업명,휴폐업발생일자,휴폐업1년전날짜
0,"""용진테크""",2022.05.18,2021.05.18
1,"""신구건설""",2021.03.19,2020.03.19
2,"""석정미디어""",2019.12.13,2018.12.13
3,"""새한실업""",2021.05.31,2020.05.31
4,"""석영엔터프라이즈""",2021.06.30,2020.06.30
5,"""남경엔지니어링토건""",2022.07.15,2021.07.15
6,"""유일철강""",2021.03.05,2020.03.05
7,"""한일물산(주)서울직매장""",2019.07.26,2018.07.26
8,"""그렉스전자""",2022.04.30,2021.04.30
9,"""신한스틸""",2019.06.28,2018.06.28
10,"""근유""",2022.05.31,2021.05.31
11,"""하랑그룹""",2020.09.04,2019.09.04
12,"""아이티스타""",2019.06.01,2018.06.01
13,"""협진기계""",2021.08.26,2020.08.26
14,"""아이세로미림화학""",2021.12.30,2020.12.30
15,"""케이원목재""",2022.05.20,2021.05.20
16,"""호연토건""",2022.04.05,2021.04.05
17,"""경성섬유""",2020.12.31,2019.12.31
18,"""금강특수""",2021.09.03,2020.09.03
19,"""유진해운""",2020.12.29,2019.12.29
20,"""유레카""",2022.03.08,2021.03.08
21,"""로젠솔루션""",2021.05.24,2020.05.24
22,"""세주상사""",2019.12.31,2018.12.31
23,"""연우기술""",2020.12.31,2019.12.31
24,"""현대특수나염""",2021.12.31,2020.12.31
25,"""삼양기전""",2022.06.30,2021.06.30
26,"""세아웰텍""",2022.04.30,2021.04.30
27,"""바우정보기술""",2020.08.31,2019.08.31
28,"""동양전기산업""",2021.11.20,2020.11.20
29,"""성도""",2021.11.08,2020.11.08
30,"""다함넷""",2020.11.11,2019.11.11
31,"""푸른영도""",2021.04.30,2020.04.30
32,"""제일산업""",2020.12.08,2019.12.08
33,"""한창산업""",2020.03.02,2019.03.02
34,"""대유철강""",2021.08.12,2020.08.12
35,"""스피드넷""",2022.03.31,2021.03.31
36,"""타워정밀""",2021.11.19,2020.11.19
37,"""에스마크""",2021.04.30,2020.04.30
38,"""한국건드릴""",2019.08.31,2018.08.31
39,"""이앤비코리아""",2020.12.23,2019.12.23
40,"""삼인실업""",2021.08.31,2020.08.31
41,"""상현종합조경""",2022.02.15,2021.02.15
42,"""대왕제지""",2020.07.20,2019.07.20
43,"""케이브랜즈""",2019.02.08,2018.02.08
44,"""카바스""",2022.04.15,2021.04.15
45,"""모투스""",2021.10.28,2020.10.28
46,"""에이치에이티""",2022.04.30,2021.04.30
47,"""도헌""",2022.02.23,2021.02.23
48,"""쓰리윈이알피""",2019.12.31,2018.12.31
49,"""대성어패럴""",2021.01.25,2020.01.25
50,"""정석건업""",2020.05.18,2019.05.18
51,"""대성지류유통""",2022.06.30,2021.06.30
52,"""에이스지앤월드""",2021.05.06,2020.05.06
53,"""청호에스엔지호남""",2021.10.31,2020.10.31
54,"""밀로텍""",2021.04.30,2020.04.30
55,"""동성특수종합물류""",2022.05.31,2021.05.31
56,"""플랙트그룹코리아""",2020.10.30,2019.10.30
57,"""한양철강""",2020.07.23,2019.07.23
58,"""신기정공""",2021.07.19,2020.07.19
59,"""돈우""",2019.12.31,2018.12.31
60,"""데오테크""",2022.07.15,2021.07.15
61,"""돌담""",2019.07.31,2018.07.31
62,"""드올""",2019.10.31,2018.10.31
63,"""우진건설""",2020.12.31,2019.12.31
64,"""에스엠에너지""",2021.12.10,2020.12.10
65,"""뜨레비디엔씨""",2019.12.31,2018.12.31
66,"""예강산업""",2021.12.31,2020.12.31
67,"""케이디엠텍""",2022.04.30,2021.04.30
68,"""문성엘에스""",2021.12.27,2020.12.27
69,"""해날건설""",2020.12.10,2019.12.10
70,"""마이크로에스엔브이콘트롤""",2020.01.31,2019.01.31
71,"""우림문화사""",2021.12.17,2020.12.17
72,"""다이엑스""",2020.07.23,2019.07.23
73,"""우림종합건설""",2021.11.02,2020.11.02
74,"""오선물산""",2020.06.30,2019.06.30
75,"""후이즈홀딩스""",2019.07.31,2018.07.31
76,"""협우설비""",2021.08.30,2020.08.30
77,"""소복건설""",2020.02.18,2019.02.18
78,"""풍양상사""",2022.05.17,2021.05.17
79,"""대건개발""",2021.05.31,2020.05.31
80,"""동양유통""",2020.05.28,2019.05.28
81,"""한국증권정보기술""",2022.07.20,2021.07.20
82,"""청산종합건설""",2021.07.12,2020.07.12
83,"""가미""",2021.06.30,2020.06.30
84,"""엑심코퍼레이션""",2018.12.03,2017.12.03
85,"""한륙전자""",2021.12.14,2020.12.14
86,"""상훈종합건영""",2021.10.21,2020.10.21
87,"""지엔에스엠엔씨""",2021.04.27,2020.04.27
88,"""후림개발""",2022.07.01,2021.07.01
89,"""바오텍""",2020.12.30,2019.12.30
90,"""이아이에스""",2019.08.30,2018.08.30
91,"""지원건설""",2020.04.20,2019.04.20
92,"""마무트코리아""",2020.12.31,2019.12.31
93,"""에스티에이치건설""",2020.06.30,2019.06.30
94,"""한신인더스트리""",2020.07.01,2019.07.01
95,"""시너지미디어""",2021.11.03,2020.11.03
96,"""보형""",2020.08.18,2019.08.18
97,"""영광전기""",2022.04.21,2021.04.21
98,"""위림종합건설""",2021.12.31,2020.12.31
99,"""제일벽지""",2021.06.30,2020.06.30
100,"""에이치디종합건설""",2021.05.13,2020.05.13
101,"""신한기술센타""",2021.04.25,2020.04.25
102,"""나라손""",2021.10.12,2020.10.12
103,"""티스톤""",2020.10.21,2019.10.21
104,"""매크론""",2021.08.20,2020.08.20
105,"""베스트샵수영""",2022.01.01,2021.01.01
106,"""플러스씨엔에스""",2020.07.15,2019.07.15
107,"""경보제지""",2021.06.21,2020.06.21
108,"""삼오물류정보""",2020.07.31,2019.07.31
109,"""이츠웰""",2019.08.09,2018.08.09
110,"""한국콘탭시스템""",2021.12.31,2020.12.31
111,"""멀린엔터테인먼트코리아""",2021.09.01,2020.09.01
112,"""아이맥스""",2021.03.31,2020.03.31
113,"""거룡실업""",2021.10.25,2020.10.25
114,"""우상종합건설""",2020.12.31,2019.12.31
115,"""자혜식품""",2022.07.31,2021.07.31
116,"""양산아이엠티""",2021.03.03,2020.03.03
117,"""세원에스디에스""",2021.03.25,2020.03.25
118,"""엔지씨코리아""",2021.09.30,2020.09.30
119,"""동산""",2021.11.26,2020.11.26
120,"""상신산업""",2021.06.11,2020.06.11
121,"""금강문화허브""",2021.01.04,2020.01.04
122,"""대한강재""",2020.12.31,2019.12.31
