,기업명,휴폐업발생일자
0,용진테크,20220518
1,신구건설,20210319
2,석정미디어,20191213
3,새한실업,20210531
4,석영엔터프라이즈,20210630
5,남경엔지니어링토건,20220715
6,유일철강,20210305
7,한일물산(주)서울직매장,20190726
8,그렉스전자,20220430
9,신한스틸,20190628
10,근유,20220531
11,하랑그룹,20200904
12,아이티스타,20190601
13,협진기계,20210826
14,아이세로미림화학,20211230
15,케이원목재,20220520
16,호연토건,20220405
17,경성섬유,20201231
18,금강특수,20210903
19,유진해운,20201229
20,유레카,20220308
21,로젠솔루션,20210524
22,세주상사,20191231
23,연우기술,20201231
24,현대특수나염,20211231
25,삼양기전,20220630
26,세아웰텍,20220430
27,바우정보기술,20200831
28,동양전기산업,20211120
29,성도,20211108
30,다함넷,20201111
31,푸른영도,20210430
32,제일산업,20201208
33,한창산업,20200302
34,대유철강,20210812
35,스피드넷,20220331
36,타워정밀,20211119
37,에스마크,20210430
38,한국건드릴,20190831
39,이앤비코리아,20201223
40,삼인실업,20210831
41,상현종합조경,20220215
42,대왕제지,20200720
43,케이브랜즈,20190208
44,카바스,20220415
45,모투스,20211028
46,에이치에이티,20220430
47,도헌,20220223
48,쓰리윈이알피,20191231
49,대성어패럴,20210125
50,정석건업,20200518
51,대성지류유통,20220630
52,에이스지앤월드,20210506
53,청호에스엔지호남,20211031
54,밀로텍,20210430
55,동성특수종합물류,20220531
56,플랙트그룹코리아,20201030
57,한양철강,20200723
58,신기정공,20210719
59,돈우,20191231
60,데오테크,20220715
61,돌담,20190731
62,드올,20191031
63,우진건설,20201231
64,에스엠에너지,20211210
65,뜨레비디엔씨,20191231
66,예강산업,20211231
67,케이디엠텍,20220430
68,문성엘에스,20211227
69,해날건설,20201210
70,마이크로에스엔브이콘트롤,20200131
71,우림문화사,20211217
72,다이엑스,20200723
73,우림종합건설,20211102
74,오선물산,20200630
75,후이즈홀딩스,20190731
76,협우설비,20210830
77,소복건설,20200218
78,풍양상사,20220517
79,대건개발,20210531
80,동양유통,20200528
81,한국증권정보기술,20220720
82,청산종합건설,20210712
83,가미,20210630
84,엑심코퍼레이션,20181203
85,한륙전자,20211214
86,상훈종합건영,20211021
87,지엔에스엠엔씨,20210427
88,후림개발,20220701
89,바오텍,20201230
90,이아이에스,20190830
91,지원건설,20200420
92,마무트코리아,20201231
93,에스티에이치건설,20200630
94,한신인더스트리,20200701
95,시너지미디어,20211103
96,보형,20200818
97,영광전기,20220421
98,위림종합건설,20211231
99,제일벽지,20210630
100,에이치디종합건설,20210513
101,신한기술센타,20210425
102,나라손,20211012
103,티스톤,20201021
104,매크론,20210820
105,베스트샵수영,20220101
106,플러스씨엔에스,20200715
107,경보제지,20210621
