,기업명
0,한일가스산업
1,엠피아이
2,도영운수
3,중원산업
4,카타나골프
5,센트로
6,엄앤드이종합건축사사무소
7,세풍폴리머
8,제일산업
9,한국대풍
10,만복철강
11,유피에스에스씨에스코리아
12,제이에스엠인터내셔날
13,코팅코리아
14,대중교통
15,대갑산업
16,티센크루프머티리얼코리아
17,동양이화
18,아방
19,아메코
20,아성테크노
21,세기건설
22,아이.씨.씨.
23,산호목재상사
24,에이앤씨엠
25,고려통상
26,바이켐
27,다은비
28,엘브스
29,서경산업개발
30,전방텍스타일
31,청룡수산
32,기경산업
33,스마트전자
34,신길운수
35,보광
36,대양산업개발
37,서경에너지
38,태정기공
39,호진산업기연
40,재영아이텍
41,현대로오텍
42,파마킹
43,윤지양행
44,동우당제약
45,선영
46,태정산업
47,동원아이엔씨
48,단암엔지니어링
49,마하니트
50,부경엔지니어링
51,동신운수
52,신성염직
53,엠투엠코리아
54,일륭금속
55,보명하이텍
56,우리개발
57,함라
58,엘리종합건설
59,파고다타워종로
60,한빛인포텍
61,대동정밀
62,나이스팜
63,은성테크닉스
64,한일정밀
65,한립특수강
66,가산토건
67,스톨베르그앤드삼일
68,엘케이보험중개
69,세화기업
71,우주특수산업
72,한빛레이저
73,에이비엠
74,대천유통
75,대주기계
76,강립실업
77,엠프로미스
78,엘티에스코리아
79,신대한관리
81,계명티아이
83,대성공업
84,호남청과
86,동화종합건설
87,헵스켐
88,대전청과
89,진원
90,대양해운
91,대원레미콘
92,보명금속
93,에이프러스씨엠건축사사무소
94,세일정기
95,에스피씨
96,에스알아이텍
97,투윈스컴
98,한빛종합관리
99,스틸뱅크
100,동해보양온천컨벤션호텔
101,한공건설
102,신성이노텍
103,포텍
104,도담에스테이트
105,테라에프에이
106,세원건설
107,웰코스
108,창성에이스산업
109,진영지업
110,성호프린트
111,동남개발잡
112,키카
113,연호전자
114,오에스피
115,동진기업
116,아이디헬스케어그룹
117,일토씨엔엠
118,인산씨앤씨
119,지엘돈의문디앤씨
120,경우이앤씨
121,지엠에스
122,알메탈
123,한국가와사키로보틱스
124,그래닛홀딩스
125,성일건설
126,삼우아트
127,픽슨
128,남양진흥기업
129,광명잉크제조
130,한국케이블티브이푸른방송
131,박스코
132,에버켐
133,제니코
134,영진기업
135,히즈시스템
136,라비돌
137,유니엔스
138,성우
139,엠트랜스
140,태영건설
141,한우리식품
142,보스톤사이언티픽코리아
143,성우
144,현우산기
145,프랭클린템플턴투자자문
146,단에이앤씨종합건축사사무소
147,계명
148,나원산업
149,로이포스
150,21세기
151,활림건설
152,대신인터내셔날
153,아산
154,복정제형
155,대유산업
156,동성화학공업
157,아라리오
158,에스아이지패키징코리아
159,금강에너텍
160,구스베
161,제이피엠
162,진성테크
163,한국유량계공업
164,제일스텐철강
165,금진해운
166,진주랑
167,고려노벨화약
168,신스틸
169,세창인터내쇼날
170,하농
171,발레오오토모티브코리아
172,제이웨이브
173,백산이엔씨
174,알버말코리아
175,대호산업
176,부영마린
177,건영스틸
178,동일에프엔지
179,남곡건설
180,신한발브공업
181,일우공영
182,세화골게이트팩
183,정도이앤피
184,동성철강
185,단월드
186,삼동산업
187,제이피로지스틱스
188,파워클
189,삼익티디에프
190,명성기업
191,에스탱크엔지니어링
192,삼우합금공업
193,스피넥스
194,와브코코리아
195,민진
196,대진항운
197,투웨니퍼스트
198,동신모텍
199,케이디앤70
200,한국커피물류
202,성원하이드로릭스
203,리본
204,엠케이켐앤텍
205,동일도기타일
206,신세기건설
207,엠이씨
208,제일금속
209,레디드림
210,남양저축은행
211,어나더필
212,한빛식품
213,대영산전
214,휴비딕
215,신진로기계공업
216,광성강관공업
217,원우성업
218,하이디스테크놀로지
219,리뉴시스템
220,재원산업기계
221,서강기업
222,블루포트
223,일신이앤씨
224,경일
225,마스터스인터내셔널
226,플레이스엠
227,남국종합건설
228,엔바이오컨스
229,대흥레미콘
230,새한실리켐
231,트렉스타
232,하이오토클럽
233,래피젠
234,비엘에스
235,아이파트너즈
236,우일건설
237,퓨리텍
238,텍스존
239,유미특허법인
240,에센텍
241,저스트원
242,에스엘테크놀로지
243,콘텔라
244,그린씨에스
245,세영엔터프라이즈
246,서울경제신문
247,성호특수강
248,동신관유리공업
249,일진알미늄
250,디티알
251,우영유압
252,명신섬유공업
253,대주기업
254,광주관광개발
255,화남피혁
256,서서울자동차산업
257,수에즈워터테크놀로지앤솔루션스코리아
258,원중철강
259,경원소재
260,오드펠터미널코리아
261,오페라
262,비룡소
263,에스씨엠
264,단해인천지점
265,함평엘리체컨트리클럽
266,에스제이테크
267,신덕산업
268,레스모아
269,일석
270,상하건설
271,우현피엔티
272,디알엠씨티
273,필아테크
274,동승통상
275,케이알티
276,오성개발
277,보영운수
278,단암시스템즈
279,서일
280,에스티엘글로벌
281,한국메디칼푸드
