,기업명,휴폐업발생일자
70,동남주택산업,99999999.0
80,정광,99999999.0
82,에스디어드바이저,20020522.0
85,앨트웰,20081010.0
201,동학식품,20141211.0
301,태성환경연구소,20020120.0
321,신생활식품,20100927.0
378,케이에이치엠홀딩스,20110630.0
673,오성전자,20031231.0
885,미건도시개발,20090610.0
985,케이티에스글로벌,20090817.0
1012,솔라플레이,20210831.0
1020,조양흥진,20060425.0
1079,한토건설,20020331.0
1113,포유,20051231.0
1149,세계로마트,20040623.0
1170,미래도시창조,20090630.0
1216,경진이앤지,20070704.0
1222,현산홀딩스,20161031.0
1266,세종웨딩,99999999.0
1378,케이터링서비스파트너,20110104.0
1404,리치,99999999.0
1482,하이리치자산관리,20071231.0
1508,새날씨앤피,20021231.0
1599,윈스톤,99999999.0
1638,희앤썬,99999999.0
1705,모아레저산업,99999999.0
1962,자인,99999999.0
1997,대호,20000331.0
2026,빌더스씨앤디,20110730.0
2113,씨앤씨어패럴,99999999.0
2229,와이엠지,20100819.0
2232,코카디앤아이,19990402.0
2285,창조프린팩,20151019.0
2288,두손개발,99999999.0
2576,아델리아씨티산업개발,99999999.0
2591,대선빌딩,99999999.0
2695,태백건설,99999999.0
2730,금송목재합판,99999999.0
2732,호승기업,20000531.0
2863,한강화학,19941130.0
2905,대성남양주,99999999.0
2983,삼중토건,20140630.0
2998,도충홀딩스,20011231.0
3130,하스엠,99999999.0
3167,한국타코닉,99999999.0
3169,미창건설,20061031.0
3236,에스티에스도시개발,20060401.0
3251,북두산업,20020731.0
3277,하이트맨션,20091231.0
3298,테라,20170630.0
3412,조은가,20050331.0
3500,금강디앤씨,99999999.0
3505,도성건설,99999999.0
3595,유니코하이테크,20031231.0
3687,신라산업개발,20130717.0
3751,트랜드아이,20091209.0
3756,에이유씨,99999999.0
4117,화경,19960715.0
4139,매직캔,20070430.0
4202,광명,20061231.0
4242,엠케이아이글로벌,99999999.0
4300,성진,99999999.0
4733,우주,20111231.0
4774,지영사,99999999.0
4815,수양켐텍,20030630.0
4878,엘앤에이치건설,20040611.0
4888,기장,20130630.0
4912,빅솔반월공장,20140306.0
4926,스카이쏠라,20071231.0
5001,씨엠브라이트,99999999.0
5053,한마음프라임건설,20020630.0
5057,레인보우폴리스,20070630.0
5064,시흥관광호텔,20220504.0
5099,와이엘이,99999999.0
5142,중해건설,20100812.0
5216,대경페이퍼앤펄프,20060228.0
5227,디에이치에스,20111231.0
5233,엠케이팜,20091029.0
5238,아이큐웰,99999999.0
5447,미래알에이씨,99999999.0
5475,국토실업,99999999.0
5479,에이블피엔지,20100609.0
5586,재승스틸,19980825.0
5657,효창에너지,20001231.0
5684,건설레미콘,99999999.0
5693,진원산업개발,20030731.0
5712,진영페이퍼,99999999.0
5877,삼대양레저,20010731.0
5911,배성네트웍스,20130630.0
5928,다우아이콘스,20181231.0
5999,지엔티파마,20130930.0
6093,유중개발,20020930.0
6151,온누리종합건설,20000216.0
6164,흥부,20080423.0
6211,스카이홀딩스,20121114.0
6217,랜드미,99999999.0
6255,로담건축,20080430.0
6274,파크노르디아,20041231.0
6317,제이에이치레전드호텔,99999999.0
6488,진원산업,20001231.0
6518,해피룸,20051231.0
6696,케이비알,20150506.0
6826,삼스브이앤에스,20031231.0
6947,용산산업,20100706.0
7017,신우주택,20171231.0
7077,불국토,20031120.0
7190,제일흥업,20170719.0
7239,흥국산업,99999999.0
7379,경승,20100414.0
7493,아이티로그인,20020501.0
7497,브레댄코,20021231.0
7615,태창운수,99999999.0
7708,천수산업개발,20161231.0
7721,이에스인포매틱스,20131011.0
7780,에이스바이오메드,20091231.0
7824,에이치앤에스에셋,20040630.0
7828,혜담건설,99999999.0
7883,마금,20161231.0
7982,한특,20070625.0
8004,에스테크,20030531.0
8107,영빈산업,20050826.0
8154,부림비엠,99999999.0
8157,더다올,99999999.0
8191,지에이치에셋,20011231.0
8195,엠에스테크놀러지,99999999.0
8239,대창실업,20020625.0
8242,돈키훼밀리,20020331.0
8321,그랜드건설,20121105.0
8331,더샘인터내셔날,20020630.0
8373,두원개발,99999999.0
8560,엠제이와이인베스트먼트,20060110.0
8630,하이눈커뮤니티,20030905.0
8646,창동역사,20170925.0
8837,세림산업,99999999.0
8893,호텔캐피탈,99999999.0
8935,포디움이앤씨,20140630.0
9249,진주물산,99999999.0
9326,컬리넌홀딩스,20091231.0
9422,코아스틸,20190110.0
9426,시엘티개발,20120619.0
9459,엔터,20020704.0
9545,만성스텐,99999999.0
9594,브이홀딩스,20121231.0
9660,엠.이.에이치,99999999.0
9760,제이아이개발,20110331.0
9878,계도실업,20121231.0
9880,호텔그랜드유통,99999999.0
9917,엔비엠,99999999.0
9920,베리모나코,20061231.0
9934,태진자산관리,19950201.0
10059,한국아이티진흥,20220128.0
10061,초이스건설,99999999.0
10118,제이제이앤구골홀딩스,20020530.0
10124,두양정공,20180315.0
10142,인창문정,99999999.0
10187,한국자원환경,20020801.0
10454,에스비디,99999999.0
10596,고려비엔피,20070731.0
10613,하나종합관리,99999999.0
10632,호빈,20080120.0
10755,가하유앤아이,20140917.0
10759,준씨엠에스,20100330.0
10837,디자인실버피쉬,99999999.0
10895,시네마천국,20120331.0
10906,코아시아넥셀,20071231.0
10910,인합물산,99999999.0
11016,애니랜드,20071231.0
11127,우케이,20050630.0
11176,우진에너지,99999999.0
11206,엠앤와이즈,20070228.0
11227,정광피엔아이,20051231.0
11232,지에스밸리,20071115.0
11272,제이에스하임,20101101.0
11434,플라터너스,20121221.0
11582,삼성에스엘,20070619.0
11721,호텔더디자이너스디디피,99999999.0
11732,에버캄도시개발,99999999.0
11749,제주분마이호랜드,20190521.0
11841,태영에이엠씨대부,20110102.0
11984,대성석유(주)직영길동주유소,99999999.0
12034,대지씨앤씨,99999999.0
12051,영등포뉴타운지하상가,99999999.0
12104,아이콘컴퍼니,20180518.0
12274,세모에스엘,20180630.0
12277,동서화학공업,20140630.0
12392,골든크라운,20100622.0
12481,케이엘마트,20100325.0
12527,리츠홀딩스,99999999.0
12545,아벨수강건설,20121214.0
12610,광명테크솔루션,20070331.0
12732,청우물류,20121019.0
12764,신라산업,99999999.0
12770,메트로코리아,20080630.0
12785,성호철강,99999999.0
12812,백스코,20180831.0
12893,일신피앤씨,20130331.0
12897,바찌,99999999.0
12972,정도산업개발,99999999.0
12979,아시아홀딩컴퍼니,20101231.0
12982,브릭스건설,20071017.0
13005,강원학교관리,20131128.0
13014,알에프메디컬,20051130.0
13051,세운산업,99999999.0
13054,금하씨앤디,20150630.0
13059,왕보,20080630.0
13086,와이즈비젼,20061231.0
13120,우아개발,20120331.0
13206,포씨즈,99999999.0
13272,부천학교관리,20131128.0
13274,엠투종합건설,20110630.0
13281,제이엠건설,99999999.0
13324,국보옵틱스,99999999.0
13344,소백종합건설,20121031.0
13429,트리플에이,20140630.0
13438,효동건설,20111130.0
13492,싸인리더,99999999.0
13522,무일화성,20091214.0
13570,전북서부학교관리,20131128.0
13581,장위홀딩스,20150731.0
13590,신라개발,99999999.0
13616,태영플러스,99999999.0
13622,밸류인베스트코리아,20101231.0
13699,세계로더블유스토어,99999999.0
13780,이삭,20170802.0
13806,그린홀딩스,99999999.0
13820,메가씨엘,20080630.0
13843,경기미래학교관리,20131128.0
13920,더마트,99999999.0
13934,오성산업개발,99999999.0
13988,남경레저,20151101.0
14022,에스앤씨네트웍스,99999999.0
14174,에이치산업,99999999.0
14262,호메르스호텔,99999999.0
14304,한일관,99999999.0
14338,투게더홀딩스,99999999.0
14370,지씨앤,20120331.0
14375,아라인빌,20141231.0
14392,삼광에프엔씨,20090630.0
14433,동바오,99999999.0
14498,플러스에이치포,20090930.0
14541,나루,20090630.0
14545,인벤테라도시개발,20100412.0
14600,씨엔에스대부,20090220.0
14605,시티코어,99999999.0
14620,에이치투디앤아이,20120331.0
14637,오니커스,20120430.0
14747,원마운트,20200612.0
14748,사러가연희수퍼마켓,99999999.0
14797,제이비케이랩,99999999.0
14869,대경웍스,99999999.0
14984,옴니네트웍스,99999999.0
14985,서울로직,99999999.0
15063,와이에스에이치기업,20081231.0
15102,서해그린에너지,99999999.0
15183,오션호주건설분당지점,20151231.0
15198,에스에스오토랜드르노삼성자동차남분당정비사업소,20101231.0
15199,에스에스오토랜드,20101231.0
15205,대현,20180630.0
15244,영공,99999999.0
15397,보람상조개발(주)상아예식장,99999999.0
15580,선문그린사이언스(주)대전지점,99999999.0
15595,중도석유(주)도마동주유소,99999999.0
15906,에스에스오토랜드수원영업소,20101231.0
15950,오에스에너지가야주유소,99999999.0
15960,동서화학공업,20140630.0
16312,진성,99999999.0
16458,유봉,99999999.0
16471,성지씨앤디,20071231.0
16504,오션벨리양양지점,99999999.0
16510,더함메이드,20151231.0
16591,캠비,99999999.0
16616,랄프로렌코리아,20081231.0
16801,리치상주점,99999999.0
16826,보성글로벌,99999999.0
16872,상리홀딩스,20110831.0
16928,현대씨즈올,20150331.0
16989,동익,20130222.0
17025,남인,99999999.0
17078,제니스엠앤씨,20141231.0
17345,신안피앤씨,20171026.0
17354,신한메탈,20170331.0
17366,울진개발,99999999.0
17462,비에이치홀딩스,99999999.0
